,Algorithm,Graph name,k,Found result,Time (perf)
0,Branching DFS Recursive,Petersen,1,False,501400
1,Branching DFS Recursive,Petersen,2,False,1174100
2,Branching DFS Recursive,Petersen,3,False,3542000
3,Branching DFS Recursive,Petersen,4,False,11442900
4,Branching DFS Recursive,Petersen,5,False,20630700
5,Branching DFS Recursive,Petersen,6,True,7602300
6,Branching DFS Recursive,Petersen,7,True,3437100
7,Branching DFS Recursive,Petersen,8,True,2744900
8,Branching DFS Recursive,Petersen,9,True,2575700
9,Branching DFS Recursive,Petersen,10,True,2489700
10,Branching DFS Recursive,Petersen,1,False,1024600
11,Branching DFS Recursive,Petersen,2,False,2481400
12,Branching DFS Recursive,Petersen,3,False,5434300
13,Branching DFS Recursive,Petersen,4,False,5927800
14,Branching DFS Recursive,Petersen,5,False,8950500
15,Branching DFS Recursive,Petersen,6,True,4444100
16,Branching DFS Recursive,Petersen,7,True,1674100
17,Branching DFS Recursive,Petersen,8,True,1128900
18,Branching DFS Recursive,Petersen,9,True,1047100
19,Branching DFS Recursive,Petersen,10,True,1341700
20,Branching DFS Recursive,Petersen,1,False,400200
21,Branching DFS Recursive,Petersen,2,False,1782300
22,Branching DFS Recursive,Petersen,3,False,3631600
23,Branching DFS Recursive,Petersen,4,False,8184600
24,Branching DFS Recursive,Petersen,5,False,16801100
25,Branching DFS Recursive,Petersen,6,True,7750600
26,Branching DFS Recursive,Petersen,7,True,3433000
27,Branching DFS Recursive,Petersen,8,True,2106700
28,Branching DFS Recursive,Petersen,9,True,1853100
29,Branching DFS Recursive,Petersen,10,True,1758400
30,Branching DFS Recursive,Petersen,1,False,662600
31,Branching DFS Recursive,Petersen,2,False,2111900
32,Branching DFS Recursive,Petersen,3,False,3112000
33,Branching DFS Recursive,Petersen,4,False,6732500
34,Branching DFS Recursive,Petersen,5,False,16629700
35,Branching DFS Recursive,Petersen,6,True,7324400
36,Branching DFS Recursive,Petersen,7,True,3913200
37,Branching DFS Recursive,Petersen,8,True,2396700
38,Branching DFS Recursive,Petersen,9,True,2520100
39,Branching DFS Recursive,Petersen,10,True,2391800
40,Branching DFS Recursive,Petersen,1,False,938400
41,Branching DFS Recursive,Petersen,2,False,2364400
42,Branching DFS Recursive,Petersen,3,False,3979400
43,Branching DFS Recursive,Petersen,4,False,9550800
44,Branching DFS Recursive,Petersen,5,False,16498800
45,Branching DFS Recursive,Petersen,6,True,6207800
46,Branching DFS Recursive,Petersen,7,True,1764300
47,Branching DFS Recursive,Petersen,8,True,1279800
48,Branching DFS Recursive,Petersen,9,True,2190000
49,Branching DFS Recursive,Petersen,10,True,1868200
50,Branching DFS Recursive,Petersen,1,False,398200
51,Branching DFS Recursive,Petersen,2,False,1212100
52,Branching DFS Recursive,Petersen,3,False,3972400
53,Branching DFS Recursive,Petersen,4,False,9500300
54,Branching DFS Recursive,Petersen,5,False,12013400
55,Branching DFS Recursive,Petersen,6,True,7584300
56,Branching DFS Recursive,Petersen,7,True,3575200
57,Branching DFS Recursive,Petersen,8,True,2867400
58,Branching DFS Recursive,Petersen,9,True,2425600
59,Branching DFS Recursive,Petersen,10,True,2411800
60,Branching DFS Recursive,Petersen,1,False,698300
61,Branching DFS Recursive,Petersen,2,False,1331200
62,Branching DFS Recursive,Petersen,3,False,2553700
63,Branching DFS Recursive,Petersen,4,False,4428400
64,Branching DFS Recursive,Petersen,5,False,9056600
65,Branching DFS Recursive,Petersen,6,True,5500000
66,Branching DFS Recursive,Petersen,7,True,3387300
67,Branching DFS Recursive,Petersen,8,True,2346300
68,Branching DFS Recursive,Petersen,9,True,2370800
69,Branching DFS Recursive,Petersen,10,True,2365300
70,Branching DFS Recursive,Petersen,1,False,943400
71,Branching DFS Recursive,Petersen,2,False,2431400
72,Branching DFS Recursive,Petersen,3,False,3789600
73,Branching DFS Recursive,Petersen,4,False,8401300
74,Branching DFS Recursive,Petersen,5,False,15844000
75,Branching DFS Recursive,Petersen,6,True,7488800
76,Branching DFS Recursive,Petersen,7,True,3640600
77,Branching DFS Recursive,Petersen,8,True,2548700
78,Branching DFS Recursive,Petersen,9,True,1692100
79,Branching DFS Recursive,Petersen,10,True,2834800
80,Branching DFS Recursive,Petersen,1,False,1132300
81,Branching DFS Recursive,Petersen,2,False,1454300
82,Branching DFS Recursive,Petersen,3,False,2511400
83,Branching DFS Recursive,Petersen,4,False,6699200
84,Branching DFS Recursive,Petersen,5,False,16829500
85,Branching DFS Recursive,Petersen,6,True,7303400
86,Branching DFS Recursive,Petersen,7,True,3365400
87,Branching DFS Recursive,Petersen,8,True,2421800
