,Algorithm,Graph name,K,Time taken,Found result
0,Kernelization,Florentine Families,11,71997000,True
1,Kernelization,Florentine Families,11,64791900,True
2,Kernelization,Florentine Families,11,68987800,True
3,Kernelization,Florentine Families,11,64753900,True
4,Kernelization,Florentine Families,11,68853800,True
5,Kernelization,Florentine Families,11,68707500,True
6,Kernelization,Florentine Families,11,72454300,True
7,Kernelization,Florentine Families,11,67192100,True
8,Kernelization,Florentine Families,11,71607400,True
9,Kernelization,Florentine Families,11,65231000,True
10,Kernelization,Florentine Families,11,72604100,True
11,Kernelization,Florentine Families,11,64391300,True
12,Kernelization,Florentine Families,11,68298300,True
13,Kernelization,Florentine Families,11,65515900,True
14,Kernelization,Florentine Families,11,68815900,True
15,Kernelization,Florentine Families,11,64564600,True
16,Kernelization,Florentine Families,11,69459600,True
17,Kernelization,Florentine Families,11,64787500,True
18,Kernelization,Florentine Families,11,72995900,True
19,Kernelization,Florentine Families,11,63576200,True
20,Kernelization,Florentine Families,11,71176900,True
21,Kernelization,Florentine Families,11,70250300,True
22,Kernelization,Florentine Families,11,68228500,True
23,Kernelization,Florentine Families,11,88246600,True
24,Kernelization,Florentine Families,11,73606200,True
25,Kernelization,Florentine Families,11,65748400,True
26,Kernelization,Florentine Families,11,69669800,True
27,Kernelization,Florentine Families,11,77881300,True
28,Kernelization,Florentine Families,11,72791300,True
29,Kernelization,Florentine Families,11,67597200,True
30,Kernelization,Florentine Families,11,74761400,True
31,Kernelization,Florentine Families,11,67577900,True
32,Kernelization,Florentine Families,11,69343000,True
33,Kernelization,Florentine Families,11,64705700,True
34,Kernelization,Florentine Families,11,73764300,True
35,Kernelization,Florentine Families,11,66525300,True
36,Kernelization,Florentine Families,11,66310600,True
37,Kernelization,Florentine Families,11,64529500,True
38,Kernelization,Florentine Families,11,67061200,True
39,Kernelization,Florentine Families,11,67792600,True
40,Kernelization,Florentine Families,11,67926200,True
41,Kernelization,Florentine Families,11,63861200,True
42,Kernelization,Florentine Families,11,71954100,True
43,Kernelization,Florentine Families,11,65762400,True
44,Kernelization,Florentine Families,11,69193400,True
45,Kernelization,Florentine Families,11,68107300,True
46,Kernelization,Florentine Families,11,70765800,True
47,Kernelization,Florentine Families,11,68073200,True
48,Kernelization,Florentine Families,11,70480800,True
49,Kernelization,Florentine Families,11,70956100,True
50,Kernelization,Florentine Families,11,72181500,True
51,Kernelization,Florentine Families,11,68962100,True
52,Kernelization,Florentine Families,11,70572600,True
53,Kernelization,Florentine Families,11,67171000,True
54,Kernelization,Florentine Families,11,68838900,True
55,Kernelization,Florentine Families,11,64413300,True
56,Kernelization,Florentine Families,11,68654000,True
57,Kernelization,Florentine Families,11,64842100,True
58,Kernelization,Florentine Families,11,67757400,True
59,Kernelization,Florentine Families,11,64728100,True
60,Kernelization,Florentine Families,11,67457200,True
61,Kernelization,Florentine Families,11,65113000,True
62,Kernelization,Florentine Families,11,66900200,True
63,Kernelization,Florentine Families,11,64271000,True
64,Kernelization,Florentine Families,11,71094400,True
65,Kernelization,Florentine Families,11,64401800,True
66,Kernelization,Florentine Families,11,69951900,True
67,Kernelization,Florentine Families,11,67282000,True
68,Kernelization,Florentine Families,11,92894600,True
69,Kernelization,Florentine Families,11,71457200,True
70,Kernelization,Florentine Families,11,67864400,True
71,Kernelization,Florentine Families,11,64547900,True
72,Kernelization,Florentine Families,11,67308900,True
73,Kernelization,Florentine Families,11,64554400,True
74,Kernelization,Florentine Families,11,67096300,True
75,Kernelization,Florentine Families,11,64653500,True
76,Kernelization,Florentine Families,11,68539300,True
77,Kernelization,Florentine Families,11,64275500,True
78,Kernelization,Florentine Families,11,72432200,True
79,Kernelization,Florentine Families,11,66047800,True
80,Kernelization,Florentine Families,11,71758200,True
81,Kernelization,Florentine Families,11,64233100,True
82,Kernelization,Florentine Families,11,69939600,True
83,Kernelization,Florentine Families,11,65029400,True
84,Kernelization,Florentine Families,11,67217200,True
85,Kernelization,Florentine Families,11,65203600,True
86,Kernelization,Florentine Families,11,73512900,True
87,Kernelization,Florentine Families,11,103849700,True
88,Kernelization,Florentine Families,11,69687800,True
89,Kernelization,Florentine Families,11,66319500,True
90,Kernelization,Florentine Families,11,68844300,True
91,Kernelization,Florentine Families,11,64599900,True
92,Kernelization,Florentine Families,11,73297100,True
93,Kernelization,Florentine Families,11,66689100,True
94,Kernelization,Florentine Families,11,68224000,True
95,Kernelization,Florentine Families,11,64348900,True
96,Kernelization,Florentine Families,11,69189100,True
97,Kernelization,Florentine Families,11,65001700,True
98,Kernelization,Florentine Families,11,68976400,True
99,Kernelization,Florentine Families,11,66298300,True
100,Kernelization,Karate Club,11,71576600,True
101,Kernelization,Karate Club,11,65804700,True
102,Kernelization,Karate Club,11,68611700,True
103,Kernelization,Karate Club,11,64326700,True
104,Kernelization,Karate Club,11,68510500,True
105,Kernelization,Karate Club,11,68099300,True
106,Kernelization,Karate Club,11,73501400,True
107,Kernelization,Karate Club,11,66103400,True
